,data,companyia,producte,paquet,garantia,cobertura
31,2022-03-25 20:37:37,Catalana Occidente,Auto,Terceros ampliado,Orientación médica telefónica,Incluido
32,2022-03-25 20:37:37,Catalana Occidente,Auto,Terceros ampliado,Rotura de lunas,Incluido
33,2022-03-25 20:37:37,Catalana Occidente,Auto,Terceros ampliado,Garantía de incendio,Incluido
34,2022-03-25 20:37:37,Catalana Occidente,Auto,Terceros ampliado,Cobertura de robo y hurto,Incluido
35,2022-03-25 20:37:37,Catalana Occidente,Auto,Terceros ampliado,Daños causados por animales cinegéticos,Incluido
36,2022-03-25 20:37:37,Catalana Occidente,Auto,Terceros ampliado,Daños causados por fenómenos atmosféricos,Opcional
37,2022-03-25 20:37:37,Catalana Occidente,Auto,Terceros ampliado,Garantía de daños propios,No Incluido
38,2022-03-25 20:37:37,Catalana Occidente,Auto,Terceros ampliado,Lunas tintadas,Opcional
39,2022-03-25 20:37:37,Catalana Occidente,Auto,Terceros ampliado,Defensa y reclamación ampliadas,Opcional
40,2022-03-25 20:37:37,Catalana Occidente,Auto,Terceros ampliado,Asistencia en viaje ampliada,Opcional
41,2022-03-25 20:37:37,Catalana Occidente,Auto,Terceros ampliado,Accidentes corporales del conductor ampliado a ocupantes,Opcional
42,2022-03-25 20:37:37,Catalana Occidente,Auto,Terceros ampliado,Cobertura de incendio ampliada,Opcional
43,2022-03-25 20:37:37,Catalana Occidente,Auto,Terceros ampliado,Cobertura de robo ampliada,Opcional
44,2022-03-25 20:37:37,Catalana Occidente,Auto,Terceros ampliado,Cobertura de daños propios ampliada,Opcional
45,2022-03-25 20:37:37,Catalana Occidente,Auto,Terceros ampliado,Vehículo de sustitución,Opcional
46,2022-03-25 20:37:37,Catalana Occidente,Auto,Terceros ampliado,Indemnización por retirada de carnet,Opcional
47,2022-03-25 20:37:37,Catalana Occidente,Auto,Terceros ampliado,Gestoria del automóvil,No Incluido
48,2022-03-25 20:37:37,Catalana Occidente,Auto,Todo riesgo con franquicia,Responsabilidad civil obligatoria,Incluido
49,2022-03-25 20:37:37,Catalana Occidente,Auto,Todo riesgo con franquicia,Responsabilidad civil complementaria 50MM,Incluido
50,2022-03-25 20:37:37,Catalana Occidente,Auto,Todo riesgo con franquicia,Responsabilidad civil del conductor/ tomador como peatón y ciclista,Incluido
51,2022-03-25 20:37:37,Catalana Occidente,Auto,Todo riesgo con franquicia,Responsabilidad civil por incendio del vehículo asegurado,Incluido
52,2022-03-25 20:37:37,Catalana Occidente,Auto,Todo riesgo con franquicia,Defensa y reclamación,Incluido
53,2022-03-25 20:37:37,Catalana Occidente,Auto,Todo riesgo con franquicia,Asistencia en viaje,Incluido
54,2022-03-25 20:37:37,Catalana Occidente,Auto,Todo riesgo con franquicia,Accidentes corporales del conductor,Incluido
55,2022-03-25 20:37:37,Catalana Occidente,Auto,Todo riesgo con franquicia,Orientación médica telefónica,Incluido
56,2022-03-25 20:37:37,Catalana Occidente,Auto,Todo riesgo con franquicia,Rotura de lunas,Incluido
57,2022-03-25 20:37:37,Catalana Occidente,Auto,Todo riesgo con franquicia,Garantía de incendio,Incluido
58,2022-03-25 20:37:37,Catalana Occidente,Auto,Todo riesgo con franquicia,Cobertura de robo y hurto,Incluido
59,2022-03-25 20:37:37,Catalana Occidente,Auto,Todo riesgo con franquicia,Daños causados por animales cinegéticos,Incluido
60,2022-03-25 20:37:37,Catalana Occidente,Auto,Todo riesgo con franquicia,Daños causados por fenómenos atmosféricos,Incluido
61,2022-03-25 20:37:37,Catalana Occidente,Auto,Todo riesgo con franquicia,Garantía de daños propios,Incluido
62,2022-03-25 20:37:37,Catalana Occidente,Auto,Todo riesgo con franquicia,Lunas tintadas,Opcional
63,2022-03-25 20:37:37,Catalana Occidente,Auto,Todo riesgo con franquicia,Defensa y reclamación ampliadas,Opcional
64,2022-03-25 20:37:37,Catalana Occidente,Auto,Todo riesgo con franquicia,Asistencia en viaje ampliada,Opcional
65,2022-03-25 20:37:37,Catalana Occidente,Auto,Todo riesgo con franquicia,Accidentes corporales del conductor ampliado a ocupantes,Opcional
66,2022-03-25 20:37:37,Catalana Occidente,Auto,Todo riesgo con franquicia,Cobertura de incendio ampliada,Opcional
67,2022-03-25 20:37:37,Catalana Occidente,Auto,Todo riesgo con franquicia,Cobertura de robo ampliada,Opcional
68,2022-03-25 20:37:37,Catalana Occidente,Auto,Todo riesgo con franquicia,Cobertura de daños propios ampliada,Opcional
69,2022-03-25 20:37:37,Catalana Occidente,Auto,Todo riesgo con franquicia,Vehículo de sustitución,Opcional
70,2022-03-25 20:37:37,Catalana Occidente,Auto,Todo riesgo con franquicia,Indemnización por retirada de carnet,Opcional
71,2022-03-25 20:37:37,Catalana Occidente,Auto,Todo riesgo con franquicia,Gestoria del automóvil,No Incluido
72,2022-03-25 20:37:37,Catalana Occidente,Auto,Todo riesgo sin franquicia,Responsabilidad civil obligatoria,Incluido
73,2022-03-25 20:37:37,Catalana Occidente,Auto,Todo riesgo sin franquicia,Responsabilidad civil complementaria 50MM,Incluido
74,2022-03-25 20:37:37,Catalana Occidente,Auto,Todo riesgo sin franquicia,Responsabilidad civil del conductor/ tomador como peatón y ciclista,Incluido
75,2022-03-25 20:37:37,Catalana Occidente,Auto,Todo riesgo sin franquicia,Responsabilidad civil por incendio del vehículo asegurado,Incluido
76,2022-03-25 20:37:37,Catalana Occidente,Auto,Todo riesgo sin franquicia,Defensa y reclamación,Incluido
77,2022-03-25 20:37:37,Catalana Occidente,Auto,Todo riesgo sin franquicia,Asistencia en viaje,Incluido
78,2022-03-25 20:37:37,Catalana Occidente,Auto,Todo riesgo sin franquicia,Accidentes corporales del conductor,Incluido
79,2022-03-25 20:37:37,Catalana Occidente,Auto,Todo riesgo sin franquicia,Orientación médica telefónica,Incluido
80,2022-03-25 20:37:37,Catalana Occidente,Auto,Todo riesgo sin franquicia,Rotura de lunas,Incluido
81,2022-03-25 20:37:37,Catalana Occidente,Auto,Todo riesgo sin franquicia,Garantía de incendio,Incluido
82,2022-03-25 20:37:37,Catalana Occidente,Auto,Todo riesgo sin franquicia,Cobertura de robo y hurto,Incluido
83,2022-03-25 20:37:37,Catalana Occidente,Auto,Todo riesgo sin franquicia,Daños causados por animales cinegéticos,Incluido
84,2022-03-25 20:37:37,Catalana Occidente,Auto,Todo riesgo sin franquicia,Daños causados por fenómenos atmosféricos,Incluido
85,2022-03-25 20:37:37,Catalana Occidente,Auto,Todo riesgo sin franquicia,Garantía de daños propios,Incluido
86,2022-03-25 20:37:37,Catalana Occidente,Auto,Todo riesgo sin franquicia,Lunas tintadas,Opcional
87,2022-03-25 20:37:37,Catalana Occidente,Auto,Todo riesgo sin franquicia,Defensa y reclamación ampliadas,Opcional
88,2022-03-25 20:37:37,Catalana Occidente,Auto,Todo riesgo sin franquicia,Asistencia en viaje ampliada,Opcional
89,2022-03-25 20:37:37,Catalana Occidente,Auto,Todo riesgo sin franquicia,Accidentes corporales del conductor ampliado a ocupantes,Opcional
90,2022-03-25 20:37:37,Catalana Occidente,Auto,Todo riesgo sin franquicia,Cobertura de incendio ampliada,Opcional
91,2022-03-25 20:37:37,Catalana Occidente,Auto,Todo riesgo sin franquicia,Cobertura de robo ampliada,Opcional
92,2022-03-25 20:37:37,Catalana Occidente,Auto,Todo riesgo sin franquicia,Cobertura de daños propios ampliada,Opcional
93,2022-03-25 20:37:37,Catalana Occidente,Auto,Todo riesgo sin franquicia,Vehículo de sustitución,Opcional
94,2022-03-25 20:37:37,Catalana Occidente,Auto,Todo riesgo sin franquicia,Indemnización por retirada de carnet,Opcional
95,2022-03-25 20:37:37,Catalana Occidente,Auto,Todo riesgo sin franquicia,Gestoria del automóvil,No Incluido
96,2022-03-25 20:37:37,Catalana Occidente,Auto,Todo riesgo premium,Responsabilidad civil obligatoria,Incluido
97,2022-03-25 20:37:37,Catalana Occidente,Auto,Todo riesgo premium,Responsabilidad civil complementaria 50MM,Incluido
98,2022-03-25 20:37:37,Catalana Occidente,Auto,Todo riesgo premium,Responsabilidad civil del conductor/ tomador como peatón y ciclista,Incluido
99,2022-03-25 20:37:37,Catalana Occidente,Auto,Todo riesgo premium,Responsabilidad civil por incendio del vehículo asegurado,Incluido
100,2022-03-25 20:37:37,Catalana Occidente,Auto,Todo riesgo premium,Defensa y reclamación,Incluido
101,2022-03-25 20:37:37,Catalana Occidente,Auto,Todo riesgo premium,Asistencia en viaje,Incluido
102,2022-03-25 20:37:37,Catalana Occidente,Auto,Todo riesgo premium,Accidentes corporales del conductor,Incluido
103,2022-03-25 20:37:37,Catalana Occidente,Auto,Todo riesgo premium,Orientación médica telefónica,Incluido
104,2022-03-25 20:37:37,Catalana Occidente,Auto,Todo riesgo premium,Rotura de lunas,Incluido
105,2022-03-25 20:37:37,Catalana Occidente,Auto,Todo riesgo premium,Garantía de incendio,Incluido
106,2022-03-25 20:37:37,Catalana Occidente,Auto,Todo riesgo premium,Cobertura de robo y hurto,Incluido
107,2022-03-25 20:37:37,Catalana Occidente,Auto,Todo riesgo premium,Daños causados por animales cinegéticos,Incluido
108,2022-03-25 20:37:37,Catalana Occidente,Auto,Todo riesgo premium,Daños causados por fenómenos atmosféricos,Opcional
109,2022-03-25 20:37:37,Catalana Occidente,Auto,Todo riesgo premium,Garantía de daños propios,Incluido
110,2022-03-25 20:37:37,Catalana Occidente,Auto,Todo riesgo premium,Lunas tintadas,Opcional
111,2022-03-25 20:37:37,Catalana Occidente,Auto,Todo riesgo premium,Defensa y reclamación ampliadas,Incluido
112,2022-03-25 20:37:37,Catalana Occidente,Auto,Todo riesgo premium,Asistencia en viaje ampliada,Incluido
113,2022-03-25 20:37:37,Catalana Occidente,Auto,Todo riesgo premium,Accidentes corporales del conductor ampliado a ocupantes,Incluido
114,2022-03-25 20:37:37,Catalana Occidente,Auto,Todo riesgo premium,Cobertura de incendio ampliada,Incluido
115,2022-03-25 20:37:37,Catalana Occidente,Auto,Todo riesgo premium,Cobertura de robo ampliada,Incluido
116,2022-03-25 20:37:37,Catalana Occidente,Auto,Todo riesgo premium,Cobertura de daños propios ampliada,Incluido
117,2022-03-25 20:37:37,Catalana Occidente,Auto,Todo riesgo premium,Vehículo de sustitución,Incluido
118,2022-03-25 20:37:37,Catalana Occidente,Auto,Todo riesgo premium,Indemnización por retirada de carnet,Incluido
119,2022-03-25 20:37:37,Catalana Occidente,Auto,Todo riesgo premium,Gestoria del automóvil,Incluido
0,2022-03-25 20:37:38,Direct Seguros,Auto,coche a terceros básico,Seguro del conductor/Accidentes personales del conductor,INCLUIDO
1,2022-03-25 20:37:38,Direct Seguros,Auto,coche a terceros básico,Responsabilidad Civil,INCLUIDO
2,2022-03-25 20:37:38,Direct Seguros,Auto,coche a terceros básico,Asistencia en Carretera y Grúa Estándar en España,INCLUIDO
3,2022-03-25 20:37:38,Direct Seguros,Auto,coche a terceros básico,Servicio de Reparación Direct/Talleres Reparación,INCLUIDO
4,2022-03-25 20:37:38,Direct Seguros,Auto,coche a terceros básico,Defensa Jurídica y Reclamación de Daños/Protección Jurídica,INCLUIDO
5,2022-03-25 20:37:38,Direct Seguros,Auto,coche a terceros básico,Rotura de Lunas,NO INCLUIDO
6,2022-03-25 20:37:38,Direct Seguros,Auto,coche a terceros básico,Cobertura de Incendio del Coche,NO INCLUIDO
7,2022-03-25 20:37:38,Direct Seguros,Auto,coche a terceros básico,Robo y Hurto del Coche,NO INCLUIDO
8,2022-03-25 20:37:38,Direct Seguros,Auto,coche a terceros básico,Cobertura de Daños Propios,NO INCLUIDO
9,2022-03-25 20:37:38,Direct Seguros,Auto,Terceros con Lunas,Seguro del conductor/Accidentes personales del conductor,INCLUIDO
10,2022-03-25 20:37:38,Direct Seguros,Auto,Terceros con Lunas,Responsabilidad Civil,INCLUIDO
11,2022-03-25 20:37:38,Direct Seguros,Auto,Terceros con Lunas,Asistencia en Carretera y Grúa Estándar en España,INCLUIDO
12,2022-03-25 20:37:38,Direct Seguros,Auto,Terceros con Lunas,Servicio de Reparación Direct/Talleres Reparación,INCLUIDO
13,2022-03-25 20:37:38,Direct Seguros,Auto,Terceros con Lunas,Defensa Jurídica y Reclamación de Daños/Protección Jurídica,INCLUIDO
14,2022-03-25 20:37:38,Direct Seguros,Auto,Terceros con Lunas,Rotura de Lunas,INCLUIDO
15,2022-03-25 20:37:38,Direct Seguros,Auto,Terceros con Lunas,Cobertura de Incendio del Coche,NO INCLUIDO
16,2022-03-25 20:37:38,Direct Seguros,Auto,Terceros con Lunas,Robo y Hurto del Coche,NO INCLUIDO
17,2022-03-25 20:37:38,Direct Seguros,Auto,Terceros con Lunas,Cobertura de Daños Propios,NO INCLUIDO
18,2022-03-25 20:37:38,Direct Seguros,Auto,"Terceros con Lunas, Incendio y Robo",Seguro del conductor/Accidentes personales del conductor,INCLUIDO
19,2022-03-25 20:37:38,Direct Seguros,Auto,"Terceros con Lunas, Incendio y Robo",Responsabilidad Civil,INCLUIDO
20,2022-03-25 20:37:38,Direct Seguros,Auto,"Terceros con Lunas, Incendio y Robo",Asistencia en Carretera y Grúa Estándar en España,INCLUIDO
21,2022-03-25 20:37:38,Direct Seguros,Auto,"Terceros con Lunas, Incendio y Robo",Servicio de Reparación Direct/Talleres Reparación,INCLUIDO
22,2022-03-25 20:37:38,Direct Seguros,Auto,"Terceros con Lunas, Incendio y Robo",Defensa Jurídica y Reclamación de Daños/Protección Jurídica,INCLUIDO
23,2022-03-25 20:37:38,Direct Seguros,Auto,"Terceros con Lunas, Incendio y Robo",Rotura de Lunas,INCLUIDO
24,2022-03-25 20:37:38,Direct Seguros,Auto,"Terceros con Lunas, Incendio y Robo",Cobertura de Incendio del Coche,INCLUIDO
25,2022-03-25 20:37:38,Direct Seguros,Auto,"Terceros con Lunas, Incendio y Robo",Robo y Hurto del Coche,INCLUIDO
26,2022-03-25 20:37:38,Direct Seguros,Auto,"Terceros con Lunas, Incendio y Robo",Cobertura de Daños Propios,NO INCLUIDO
27,2022-03-25 20:37:38,Direct Seguros,Auto,Todo Riesgo Con Franquicia,Seguro del conductor/Accidentes personales del conductor,INCLUIDO
28,2022-03-25 20:37:38,Direct Seguros,Auto,Todo Riesgo Con Franquicia,Responsabilidad Civil,INCLUIDO
29,2022-03-25 20:37:38,Direct Seguros,Auto,Todo Riesgo Con Franquicia,Asistencia en Carretera y Grúa Estándar en España,INCLUIDO
30,2022-03-25 20:37:38,Direct Seguros,Auto,Todo Riesgo Con Franquicia,Servicio de Reparación Direct/Talleres Reparación,INCLUIDO
31,2022-03-25 20:37:38,Direct Seguros,Auto,Todo Riesgo Con Franquicia,Defensa Jurídica y Reclamación de Daños/Protección Jurídica,INCLUIDO
32,2022-03-25 20:37:38,Direct Seguros,Auto,Todo Riesgo Con Franquicia,Rotura de Lunas,INCLUIDO
33,2022-03-25 20:37:38,Direct Seguros,Auto,Todo Riesgo Con Franquicia,Cobertura de Incendio del Coche,INCLUIDO
34,2022-03-25 20:37:38,Direct Seguros,Auto,Todo Riesgo Con Franquicia,Robo y Hurto del Coche,INCLUIDO
35,2022-03-25 20:37:38,Direct Seguros,Auto,Todo Riesgo Con Franquicia,Cobertura de Daños Propios,INCLUIDO
36,2022-03-25 20:37:38,Direct Seguros,Auto,Todo Riesgo Sin Franquicia,Seguro del conductor/Accidentes personales del conductor,INCLUIDO
37,2022-03-25 20:37:38,Direct Seguros,Auto,Todo Riesgo Sin Franquicia,Responsabilidad Civil,INCLUIDO
38,2022-03-25 20:37:38,Direct Seguros,Auto,Todo Riesgo Sin Franquicia,Asistencia en Carretera y Grúa Estándar en España,INCLUIDO
39,2022-03-25 20:37:38,Direct Seguros,Auto,Todo Riesgo Sin Franquicia,Servicio de Reparación Direct/Talleres Reparación,INCLUIDO
40,2022-03-25 20:37:38,Direct Seguros,Auto,Todo Riesgo Sin Franquicia,Defensa Jurídica y Reclamación de Daños/Protección Jurídica,INCLUIDO
41,2022-03-25 20:37:38,Direct Seguros,Auto,Todo Riesgo Sin Franquicia,Rotura de Lunas,INCLUIDO
42,2022-03-25 20:37:38,Direct Seguros,Auto,Todo Riesgo Sin Franquicia,Cobertura de Incendio del Coche,INCLUIDO
43,2022-03-25 20:37:38,Direct Seguros,Auto,Todo Riesgo Sin Franquicia,Robo y Hurto del Coche,INCLUIDO
44,2022-03-25 20:37:38,Direct Seguros,Auto,Todo Riesgo Sin Franquicia,Cobertura de Daños Propios,INCLUIDO
0,2022-03-25 20:37:38,MMT Seguros,Auto,Terceros,Responsabilidad Civil OBLIGATORIA,INCLUIDO
1,2022-03-25 20:37:38,MMT Seguros,Auto,Terceros,Reclamación de daños,INCLUIDO
2,2022-03-25 20:37:38,MMT Seguros,Auto,Terceros,Defensa de infracciones administrativas de tráfico (multas),INCLUIDO
3,2022-03-25 20:37:38,MMT Seguros,Auto,Terceros,Curso de recuperación de puntos,INCLUIDO
4,2022-03-25 20:37:38,MMT Seguros,Auto,Terceros,Rotura de lunas,Opc.
5,2022-03-25 20:37:38,MMT Seguros,Auto,Terceros,Reparación de lunas,Opc.
6,2022-03-25 20:37:38,MMT Seguros,Auto,Terceros,Robo,NO INCLUIDO
7,2022-03-25 20:37:38,MMT Seguros,Auto,Terceros,Incendio,NO INCLUIDO
8,2022-03-25 20:37:38,MMT Seguros,Auto,Terceros,Pérdida total,NO INCLUIDO
9,2022-03-25 20:37:38,MMT Seguros,Auto,Terceros,Daños propios,NO INCLUIDO
10,2022-03-25 20:37:38,MMT Seguros,Auto,Terceros,Animales cinegéticos,Opc.
11,2022-03-25 20:37:38,MMT Seguros,Auto,Terceros,Accidentes individuales - Seguro del conductor,Opc.
12,2022-03-25 20:37:38,MMT Seguros,Auto,Terceros,Responsabilidad Civil VOLUNTARIA,Opc.
13,2022-03-25 20:37:38,MMT Seguros,Auto,Terceros,Defensa jurídica,Opc.
14,2022-03-25 20:37:38,MMT Seguros,Auto,Terceros,"Asistencia en viaje ""Oro"" o ""Platino""",Opc.
15,2022-03-25 20:37:38,MMT Seguros,Auto,Terceros,Asesoramiento jurídico telefónico y asistencia en la gestión de documentos legales,Opc.
16,2022-03-25 20:37:38,MMT Seguros,Auto,Terceros Ampliado,Responsabilidad Civil OBLIGATORIA,INCLUIDO
17,2022-03-25 20:37:38,MMT Seguros,Auto,Terceros Ampliado,Reclamación de daños,INCLUIDO
18,2022-03-25 20:37:38,MMT Seguros,Auto,Terceros Ampliado,Defensa de infracciones administrativas de tráfico (multas),INCLUIDO
19,2022-03-25 20:37:38,MMT Seguros,Auto,Terceros Ampliado,Curso de recuperación de puntos,INCLUIDO
20,2022-03-25 20:37:38,MMT Seguros,Auto,Terceros Ampliado,Rotura de lunas,INCLUIDO
21,2022-03-25 20:37:38,MMT Seguros,Auto,Terceros Ampliado,Reparación de lunas,INCLUIDO
22,2022-03-25 20:37:38,MMT Seguros,Auto,Terceros Ampliado,Robo,INCLUIDO
23,2022-03-25 20:37:38,MMT Seguros,Auto,Terceros Ampliado,Incendio,INCLUIDO
24,2022-03-25 20:37:38,MMT Seguros,Auto,Terceros Ampliado,Pérdida total,Opc.
25,2022-03-25 20:37:38,MMT Seguros,Auto,Terceros Ampliado,Daños propios,NO INCLUIDO
26,2022-03-25 20:37:38,MMT Seguros,Auto,Terceros Ampliado,Animales cinegéticos,Opc.
27,2022-03-25 20:37:38,MMT Seguros,Auto,Terceros Ampliado,Accidentes individuales - Seguro del conductor,Opc.
28,2022-03-25 20:37:38,MMT Seguros,Auto,Terceros Ampliado,Responsabilidad Civil VOLUNTARIA,Opc.
29,2022-03-25 20:37:38,MMT Seguros,Auto,Terceros Ampliado,Defensa jurídica,Opc.
30,2022-03-25 20:37:38,MMT Seguros,Auto,Terceros Ampliado,"Asistencia en viaje ""Oro"" o ""Platino""",Opc.
31,2022-03-25 20:37:38,MMT Seguros,Auto,Terceros Ampliado,Asesoramiento jurídico telefónico y asistencia en la gestión de documentos legales,Opc.
32,2022-03-25 20:37:38,MMT Seguros,Auto,Todo Riesgo con Franquicia,Responsabilidad Civil OBLIGATORIA,INCLUIDO
33,2022-03-25 20:37:38,MMT Seguros,Auto,Todo Riesgo con Franquicia,Reclamación de daños,INCLUIDO
34,2022-03-25 20:37:38,MMT Seguros,Auto,Todo Riesgo con Franquicia,Defensa de infracciones administrativas de tráfico (multas),INCLUIDO
35,2022-03-25 20:37:38,MMT Seguros,Auto,Todo Riesgo con Franquicia,Curso de recuperación de puntos,INCLUIDO
36,2022-03-25 20:37:38,MMT Seguros,Auto,Todo Riesgo con Franquicia,Rotura de lunas,INCLUIDO
37,2022-03-25 20:37:38,MMT Seguros,Auto,Todo Riesgo con Franquicia,Reparación de lunas,INCLUIDO
38,2022-03-25 20:37:38,MMT Seguros,Auto,Todo Riesgo con Franquicia,Robo,INCLUIDO
39,2022-03-25 20:37:38,MMT Seguros,Auto,Todo Riesgo con Franquicia,Incendio,INCLUIDO (SEGUN FRANQUICIA)
40,2022-03-25 20:37:38,MMT Seguros,Auto,Todo Riesgo con Franquicia,Pérdida total,INCLUIDO (SEGUN FRANQUICIA)
41,2022-03-25 20:37:38,MMT Seguros,Auto,Todo Riesgo con Franquicia,Daños propios,INCLUIDO (SEGUN FRANQUICIA)
42,2022-03-25 20:37:38,MMT Seguros,Auto,Todo Riesgo con Franquicia,Animales cinegéticos,Opc.
43,2022-03-25 20:37:38,MMT Seguros,Auto,Todo Riesgo con Franquicia,Accidentes individuales - Seguro del conductor,Opc.
44,2022-03-25 20:37:38,MMT Seguros,Auto,Todo Riesgo con Franquicia,Responsabilidad Civil VOLUNTARIA,Opc.
45,2022-03-25 20:37:38,MMT Seguros,Auto,Todo Riesgo con Franquicia,Defensa jurídica,Opc.
46,2022-03-25 20:37:38,MMT Seguros,Auto,Todo Riesgo con Franquicia,"Asistencia en viaje ""Oro"" o ""Platino""",Opc.
47,2022-03-25 20:37:38,MMT Seguros,Auto,Todo Riesgo con Franquicia,Asesoramiento jurídico telefónico y asistencia en la gestión de documentos legales,Opc.
48,2022-03-25 20:37:38,MMT Seguros,Auto,Todo Riesgo,Responsabilidad Civil OBLIGATORIA,INCLUIDO
49,2022-03-25 20:37:38,MMT Seguros,Auto,Todo Riesgo,Reclamación de daños,INCLUIDO
50,2022-03-25 20:37:38,MMT Seguros,Auto,Todo Riesgo,Defensa de infracciones administrativas de tráfico (multas),INCLUIDO
51,2022-03-25 20:37:38,MMT Seguros,Auto,Todo Riesgo,Curso de recuperación de puntos,INCLUIDO
52,2022-03-25 20:37:38,MMT Seguros,Auto,Todo Riesgo,Rotura de lunas,INCLUIDO
53,2022-03-25 20:37:38,MMT Seguros,Auto,Todo Riesgo,Reparación de lunas,INCLUIDO
54,2022-03-25 20:37:38,MMT Seguros,Auto,Todo Riesgo,Robo,INCLUIDO
55,2022-03-25 20:37:38,MMT Seguros,Auto,Todo Riesgo,Incendio,INCLUIDO
56,2022-03-25 20:37:38,MMT Seguros,Auto,Todo Riesgo,Pérdida total,INCLUIDO
57,2022-03-25 20:37:38,MMT Seguros,Auto,Todo Riesgo,Daños propios,INCLUIDO
58,2022-03-25 20:37:38,MMT Seguros,Auto,Todo Riesgo,Animales cinegéticos,INCLUIDO
59,2022-03-25 20:37:38,MMT Seguros,Auto,Todo Riesgo,Accidentes individuales - Seguro del conductor,Opc.
60,2022-03-25 20:37:38,MMT Seguros,Auto,Todo Riesgo,Responsabilidad Civil VOLUNTARIA,Opc.
61,2022-03-25 20:37:38,MMT Seguros,Auto,Todo Riesgo,Defensa jurídica,Opc.
62,2022-03-25 20:37:38,MMT Seguros,Auto,Todo Riesgo,"Asistencia en viaje ""Oro"" o ""Platino""",Opc.
63,2022-03-25 20:37:38,MMT Seguros,Auto,Todo Riesgo,Asesoramiento jurídico telefónico y asistencia en la gestión de documentos legales,Opc.
0,2022-03-25 20:37:39,RACC,Auto,TERCEROS,Daños a terceros,INCLUIDO
1,2022-03-25 20:37:39,RACC,Auto,TERCEROS,Daños conductores y acompañantes,INCLUIDO
2,2022-03-25 20:37:39,RACC,Auto,TERCEROS,Gastos jurídicos,INCLUIDO
3,2022-03-25 20:37:39,RACC,Auto,TERCEROS,Cristales y ópticas del coche,NO INCLUIDO
4,2022-03-25 20:37:39,RACC,Auto,TERCEROS,Indemnización por robo e incendio,NO INCLUIDO
